RowID,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,,,,
248,Tamil Nadu,VIRUDHUNAGAR,2013,Kharif     ,Moong(Green Gram),11393,3109,,,,
249,Chhattisgarh,BILASPUR,2016,Kharif     ,Moong(Green Gram),90,20,,,,
250,Uttar Pradesh,SONBHADRA,2017,Summer     ,Urad,1,1,,,,
251,Bihar,NALANDA,2008,Kharif     ,Sesamum,32,18,,,,
252,Gujarat,KHEDA,2020,Rabi       ,Wheat,86000,223500,,,,
253,Madhya Pradesh,SHAHDOL,2007,Whole Year ,Coriander,120,29,,,,
254,Assam,NALBARI,2017,Whole Year ,Dry chillies,300,215,,,,
255,Rajasthan,AJMER,2008,Rabi       ,Peas & beans (Pulses),56,93,,,,
256,Andhra Pradesh,PRAKASAM,2017,Rabi       ,Moong(Green Gram),746,454,,,,
257,Nagaland,DIMAPUR,2009,Rabi       ,Rapeseed &Mustard,3270,3290,,,,
258,West Bengal,HOOGHLY,2021,Rabi       ,Moong(Green Gram),43,32,,,,
259,Uttar Pradesh,AMBEDKAR NAGAR,2017,Rabi       ,Gram,1470,1480,,,,
260,Uttar Pradesh,FAIZABAD,2021,Summer     ,Urad,1842,672,,,,
261,Andhra Pradesh,PRAKASAM,2020,Rabi       ,Coriander,56,52,,,,
262,Madhya Pradesh,NARSINGHPUR,2014,Whole Year ,Sweet potato,127,1127,,,,
263,Chhattisgarh,JASHPUR,2011,Rabi       ,Linseed,1242,369,,,,
264,Andhra Pradesh,VISAKHAPATANAM,2005,Rabi       ,Gram,200,100,,,,
265,Assam,MARIGAON,2009,Kharif     ,Jute,4000,41111,,,,
266,Assam,NAGAON,2005,Whole Year ,Onion,1032,2168,,,,
267,West Bengal,24 PARAGANAS SOUTH,2006,Rabi       ,Peas & beans (Pulses),159,120,,,,
268,Uttarakhand,RUDRA PRAYAG,2021,Kharif     ,Other Kharif pulses,134,127,,,,
269,Manipur,BISHNUPUR,2012,Rabi       ,Rapeseed &Mustard,90,40,,,,
270,Uttar Pradesh,MUZAFFARNAGAR,2016,Summer     ,Maize,11,16,,,,
271,Odisha,SUNDARGARH,2012,Winter     ,Horse-gram,4505,1477.6,,,,
272,Rajasthan,NAGAUR,2017,Kharif     ,Other Kharif pulses,21792,1900,,,,
273,Gujarat,BHAVNAGAR,2016,Kharif     ,Urad,1800,1100,,,,
274,Uttarakhand,TEHRI GARHWAL,2013,Whole Year ,Dry ginger,208,3744,,,,
275,Uttarakhand,BAGESHWAR,2009,Rabi       ,Masoor,968,523,,,,
276,West Bengal,JALPAIGURI,2022,Kharif     ,Mesta,149,2001,,,,
277,Maharashtra,KOLHAPUR,2012,Kharif     ,Maize,2500,5900,,,,
278,Punjab,FIROZEPUR,2011,Rabi       ,Barley,4000,13000,,,,
279,Uttar Pradesh,MUZAFFARNAGAR,2017,Rabi       ,Turmeric,6,20,,,,
280,Tamil Nadu,DHARMAPURI,2012,Kharif     ,Urad,1706,1180,,,,
281,Meghalaya,WEST KHASI HILLS,2011,Whole Year ,Potato,5653,38829,,,,
282,Uttar Pradesh,KHERI,2006,Kharif     ,Soyabean,3,1,,,,
283,Karnataka,BAGALKOT,2019,Rabi       ,Dry chillies,605,587,,,,
284,Bihar,MADHUBANI,2014,Summer     ,Moong(Green Gram),9966,4525,,,,
285,Bihar,MADHEPURA,2019,Rabi       ,Masoor,578,465,,,,
286,Gujarat,AHMADABAD,2019,Rabi       ,Rapeseed &Mustard,1800,2800,,,,
287,Madhya Pradesh,SHAJAPUR,2008,Rabi       ,Rapeseed &Mustard,163,113,,,,
288,Karnataka,HAVERI,2009,Rabi       ,Gram,1330,781,,,,
289,Kerala,KOZHIKODE,2010,Whole Year ,other oilseeds,16,0,,,,
290,Rajasthan,DHOLPUR,2012,Whole Year ,Potato,1255,30070,,,,
291,Andhra Pradesh,VIZIANAGARAM,2012,Whole Year ,Sugarcane,15635,969636,,,,
292,Uttarakhand,TEHRI GARHWAL,2012,Whole Year ,Tobacco,3,10,,,,
293,Assam,DHEMAJI,2020,Rabi       ,Gram,9,6,,,,
294,Bihar,MADHEPURA,2015,Kharif     ,Sesamum,61,49,,,,
295,Assam,SONITPUR,2013,Whole Year ,Turmeric,922,673,,,,
296,Uttar Pradesh,RAMPUR,2021,Kharif     ,Dry chillies,112,90,,,,
297,West Bengal,BANKURA,2011,Kharif     ,Groundnut,729,668,,,,
298,Karnataka,TUMKUR,2013,Kharif     ,Niger seed,1690,490,,,,
299,West Bengal,PURULIA,2018,Rabi       ,Urad,531,267,,,,
300,Bihar,ARARIA,2013,Kharif     ,Other Kharif pulses,9,5,,,,
301,Gujarat,BHAVNAGAR,2013,Kharif     ,Other Cereals & Millets,4000,1000,,,,
302,Karnataka,KOPPAL,2017,Whole Year ,Cotton(lint),17514,7430,,,,
303,Assam,KARBI ANGLONG,2012,Whole Year ,Dry chillies,336,278,,,,
304,Bihar,PURNIA,2021,Summer     ,Rice,10247,21956,,,,
305,Chhattisgarh,KABIRDHAM,2012,Whole Year ,Onion,179,680,,,,
306,Meghalaya,WEST GARO HILLS,2016,Kharif     ,Sesamum,1116,600,,,,
307,Madhya Pradesh,SHIVPURI,2011,Kharif     ,Arhar/Tur,540,330,,,,
308,Uttar Pradesh,SULTANPUR,2020,Kharif     ,Bajra,141,119,,,,
